x,y,t,v,angle
63102.9,6405.8,185,935.05,70
63273.9,5969.44,185.5,939.617,70
63444.9,5530.64,186,944.187,70
63615.9,5089.38,186.5,948.76,70
63786.9,4645.67,187,953.337,70
63957.9,4199.51,187.5,957.917,70
64129,3750.89,188,962.501,70
64300,3299.83,188.5,967.087,70
64471,2846.31,189,971.677,70
64642,2390.33,189.5,976.269,70
64813,1931.91,190,980.865,70
64984,1471.03,190.5,985.464,70
65155,1007.7,191,990.065,70
65326,541.918,191.5,994.67,70
65497,73.683,192,999.277,70
65524,0,192.5,0,70
