x,y,t,v,angle,traj
393.036,418.632,9.4,42.2662,65,3
397.262,418.523,9.5,42.2916,65,3
401.488,418.316,9.6,42.3396,65,3
405.714,418.01,9.7,42.4104,65,3
409.941,417.607,9.8,42.5036,65,3
414.167,417.105,9.9,42.6192,65,3
418.393,416.505,10,42.7571,65,3
422.619,415.807,10.1,42.9169,65,3
426.845,415.011,10.2,43.0984,65,3
431.072,414.117,10.3,43.3015,65,3
435.298,413.125,10.4,43.5257,65,3
439.524,412.035,10.5,43.7707,65,3
443.75,410.847,10.6,44.0363,65,3
447.976,409.56,10.7,44.3219,65,3
452.202,408.175,10.8,44.6273,65,3
456.429,406.693,10.9,44.9521,65,3
460.655,405.112,11,45.2957,65,3
464.881,403.433,11.1,45.6579,65,3
469.107,401.656,11.2,46.0381,65,3
473.333,399.781,11.3,46.4359,65,3
477.56,397.808,11.4,46.8509,65,3
481.786,395.737,11.5,47.2826,65,3
486.012,393.567,11.6,47.7306,65,3
490.238,391.3,11.7,48.1944,65,3
494.464,388.934,11.8,48.6735,65,3
498.691,386.471,11.9,49.1676,65,3
502.917,383.909,12,49.6761,65,3
507.143,381.249,12.1,50.1986,65,3
511.369,378.491,12.2,50.7347,65,3
515.595,375.635,12.3,51.284,65,3
519.822,372.681,12.4,51.846,65,3
524.048,369.628,12.5,52.4203,65,3
528.274,366.478,12.6,53.0066,65,3
532.5,363.23,12.7,53.6045,65,3
536.726,359.883,12.8,54.2134,65,3
540.952,356.438,12.9,54.8332,65,3
545.179,352.895,13,55.4634,65,3
549.405,349.255,13.1,56.1037,65,3
553.631,345.516,13.2,56.7537,65,3
557.857,341.679,13.3,57.4131,65,3
562.083,337.743,13.4,58.0816,65,3
566.31,333.71,13.5,58.7589,65,3
570.536,329.579,13.6,59.4446,65,3
574.762,325.349,13.7,60.1386,65,3
578.988,321.022,13.8,60.8404,65,3
583.214,316.596,13.9,61.5499,65,3
587.441,312.072,14,62.2667,65,3
591.667,307.45,14.1,62.9907,65,3
595.893,302.73,14.2,63.7215,65,3
600.119,297.912,14.3,64.459,65,3
604.345,292.996,14.4,65.2029,65,3
608.572,287.982,14.5,65.953,65,3
612.798,282.869,14.6,66.7091,65,3
617.024,277.659,14.7,67.471,65,3
621.25,272.35,14.8,68.2384,65,3
625.476,266.944,14.9,69.0113,65,3
629.703,261.439,15,69.7895,65,3
633.929,255.836,15.1,70.5726,65,3
638.155,250.135,15.2,71.3607,65,3
642.381,244.336,15.3,72.1535,65,3
646.607,238.439,15.4,72.9509,65,3
650.833,232.444,15.5,73.7527,65,3
655.06,226.35,15.6,74.5588,65,3
659.286,220.159,15.7,75.369,65,3
663.512,213.869,15.8,76.1832,65,3
667.738,207.481,15.9,77.0014,65,3
671.964,200.996,16,77.8233,65,3
676.191,194.412,16.1,78.6488,65,3
680.417,187.73,16.2,79.4779,65,3
684.643,180.95,16.3,80.3104,65,3
688.869,174.072,16.4,81.1463,65,3
693.095,167.095,16.5,81.9853,65,3
697.322,160.021,16.6,82.8275,65,3
701.548,152.848,16.7,83.6727,65,3
705.774,145.578,16.8,84.5208,65,3
710,138.209,16.9,85.3717,65,3
714.226,130.742,17,86.2255,65,3
718.453,123.178,17.1,87.0819,65,3
722.679,115.515,17.2,87.9409,65,3
726.905,107.753,17.3,88.8025,65,3
731.131,99.8943,17.4,89.6665,65,3
735.357,91.937,17.5,90.5328,65,3
739.583,83.8817,17.6,91.4015,65,3
743.81,75.7282,17.7,92.2725,65,3
748.036,67.4766,17.8,93.1456,65,3
752.262,59.1269,17.9,94.0209,65,3
756.488,50.6792,18,94.8982,65,3
760.714,42.1333,18.1,95.7776,65,3
764.941,33.4893,18.2,96.6589,65,3
769.167,24.7472,18.3,97.5421,65,3
773.393,15.9071,18.4,98.4271,65,3
777.619,6.96878,18.5,99.314,65,3
780.914,0,18.6,0,65,3
0,0,0,100,75,4
0,0,0.1,100,75,4
2.5882,9.61021,0.2,99.0528,75,4
5.1764,19.1223,0.3,98.1062,75,4
7.7646,28.5363,0.4,97.1603,75,4
10.3528,37.8522,0.5,96.2151,75,4
12.941,47.07,0.6,95.2706,75,4
15.5292,56.1897,0.7,94.3269,75,4
18.1174,65.2113,0.8,93.3839,75,4
20.7056,74.1348,0.9,92.4417,75,4
23.2938,82.9602,1,91.5004,75,4
25.882,91.6876,1.1,90.5599,75,4
28.4702,100.317,1.2,89.6202,75,4
31.0584,108.848,1.3,88.6815,75,4
33.6466,117.281,1.4,87.7437,75,4
36.2348,125.616,1.5,86.8068,75,4
38.823,133.853,1.6,85.8709,75,4
41.4112,141.991,1.7,84.936,75,4
43.9994,150.032,1.8,84.0022,75,4
46.5876,157.974,1.9,83.0695,75,4
49.1758,165.819,2,82.1379,75,4
51.764,173.565,2.1,81.2075,75,4
54.3522,181.213,2.2,80.2782,75,4
56.9404,188.763,2.3,79.3502,75,4
59.5286,196.215,2.4,78.4236,75,4
62.1168,203.569,2.5,77.4982,75,4
64.705,210.825,2.6,76.5742,75,4
67.2932,217.983,2.7,75.6517,75,4
69.8814,225.042,2.8,74.7306,75,4
72.4696,232.004,2.9,73.8111,75,4
75.0578,238.867,3,72.8932,75,4
77.646,245.633,3.1,71.977,75,4
80.2342,252.3,3.2,71.0625,75,4
82.8224,258.869,3.3,70.1498,75,4
85.4106,265.34,3.4,69.2389,75,4
87.9988,271.713,3.5,68.33,75,4
90.587,277.988,3.6,67.4232,75,4
93.1752,284.164,3.7,66.5184,75,4
95.7634,290.243,3.8,65.6158,75,4
98.3516,296.224,3.9,64.7155,75,4
100.94,302.106,4,63.8176,75,4
103.528,307.89,4.1,62.9221,75,4
106.116,313.576,4.2,62.0293,75,4
108.704,319.165,4.3,61.1391,75,4
111.293,324.655,4.4,60.2518,75,4
113.881,330.046,4.5,59.3674,75,4
116.469,335.34,4.6,58.4861,75,4
119.057,340.536,4.7,57.608,75,4
121.645,345.634,4.8,56.7333,75,4
124.234,350.633,4.9,55.8621,75,4
126.822,355.534,5,54.9947,75,4
129.41,360.338,5.1,54.1311,75,4
131.998,365.043,5.2,53.2715,75,4
134.586,369.65,5.3,52.4163,75,4
137.175,374.159,5.4,51.5655,75,4
139.763,378.57,5.5,50.7194,75,4
142.351,382.883,5.6,49.8782,75,4
144.939,387.098,5.7,49.0423,75,4
147.527,391.214,5.8,48.2118,75,4
150.116,395.233,5.9,47.3871,75,4
152.704,399.153,6,46.5684,75,4
155.292,402.975,6.1,45.7561,75,4
157.88,406.7,6.2,44.9506,75,4
160.468,410.326,6.3,44.1521,75,4
163.057,413.854,6.4,43.3612,75,4
165.645,417.284,6.5,42.5781,75,4
168.233,420.615,6.6,41.8034,75,4
170.821,423.849,6.7,41.0376,75,4
173.409,426.985,6.8,40.281,75,4
175.998,430.022,6.9,39.5344,75,4
178.586,432.962,7,38.7981,75,4
181.174,435.803,7.1,38.0729,75,4
183.762,438.546,7.2,37.3594,75,4
186.35,441.191,7.3,36.6583,75,4
188.939,443.738,7.4,35.9702,75,4
191.527,446.187,7.5,35.296,75,4
194.115,448.538,7.6,34.6365,75,4
196.703,450.791,7.7,33.9925,75,4
199.291,452.945,7.8,33.3649,75,4
201.88,455.002,7.9,32.7546,75,4
204.468,456.96,8,32.1627,75,4
207.056,458.82,8.1,31.5902,75,4
209.644,460.583,8.2,31.0382,75,4
212.232,462.247,8.3,30.5077,75,4
214.821,463.813,8.4,29.9999,75,4
217.409,465.281,8.5,29.516,75,4
219.997,466.65,8.6,29.0572,75,4
222.585,467.922,8.7,28.6246,75,4
225.173,469.096,8.8,28.2195,75,4
227.762,470.171,8.9,27.8431,75,4
230.35,471.149,9,27.4966,75,4
232.938,472.028,9.1,27.1811,75,4
235.526,472.809,9.2,26.8977,75,4
238.115,473.492,9.3,26.6473,75,4
240.703,474.077,9.4,26.4311,75,4
243.291,474.564,9.5,26.2498,75,4
245.879,474.953,9.6,26.1041,75,4
248.467,475.244,9.7,25.9946,75,4
251.056,475.436,9.8,25.9218,75,4
253.644,475.531,9.9,25.886,75,4
256.232,475.527,10,25.8874,75,4
258.82,475.426,10.1,25.9259,75,4
261.408,475.226,10.2,26.0014,75,4
263.997,474.928,10.3,26.1135,75,4
266.585,474.532,10.4,26.2619,75,4
269.173,474.038,10.5,26.4458,75,4
271.761,473.446,10.6,26.6645,75,4
274.349,472.755,10.7,26.9173,75,4
276.938,471.967,10.8,27.2031,75,4
279.526,471.08,10.9,27.521,75,4
