x,y,t,v,angle,id
473.762,253.576,6.8,70.8861,45,NO_DRAG
480.833,254.025,6.9,70.8239,45,NO_DRAG
487.904,254.376,7,70.7753,45,NO_DRAG
494.975,254.629,7.1,70.7402,45,NO_DRAG
502.046,254.784,7.2,70.7187,45,NO_DRAG
509.117,254.841,7.3,70.7108,45,NO_DRAG
516.188,254.8,7.4,70.7165,45,NO_DRAG
523.259,254.661,7.5,70.7358,45,NO_DRAG
530.33,254.423,7.6,70.7687,45,NO_DRAG
537.402,254.088,7.7,70.8152,45,NO_DRAG
544.473,253.654,7.8,70.8752,45,NO_DRAG
551.544,253.123,7.9,70.9488,45,NO_DRAG
558.615,252.493,8,71.0358,45,NO_DRAG
565.686,251.765,8.1,71.1363,45,NO_DRAG
572.757,250.939,8.2,71.2501,45,NO_DRAG
579.828,250.015,8.3,71.3772,45,NO_DRAG
586.899,248.993,8.4,71.5176,45,NO_DRAG
593.97,247.873,8.5,71.6711,45,NO_DRAG
601.041,246.654,8.6,71.8376,45,NO_DRAG
608.112,245.338,8.7,72.0172,45,NO_DRAG
615.183,243.923,8.8,72.2096,45,NO_DRAG
622.254,242.41,8.9,72.4148,45,NO_DRAG
629.325,240.8,9,72.6327,45,NO_DRAG
636.397,239.091,9.1,72.8632,45,NO_DRAG
643.468,237.284,9.2,73.106,45,NO_DRAG
650.539,235.379,9.3,73.3612,45,NO_DRAG
657.61,233.375,9.4,73.6286,45,NO_DRAG
664.681,231.274,9.5,73.9081,45,NO_DRAG
671.752,229.075,9.6,74.1994,45,NO_DRAG
678.823,226.777,9.7,74.5026,45,NO_DRAG
685.894,224.382,9.8,74.8173,45,NO_DRAG
692.965,221.888,9.9,75.1436,45,NO_DRAG
700.036,219.296,10,75.4812,45,NO_DRAG
707.107,216.606,10.1,75.83,45,NO_DRAG
714.178,213.818,10.2,76.1898,45,NO_DRAG
721.249,210.932,10.3,76.5605,45,NO_DRAG
728.32,207.948,10.4,76.9419,45,NO_DRAG
735.392,204.866,10.5,77.3339,45,NO_DRAG
742.463,201.685,10.6,77.7363,45,NO_DRAG
749.534,198.407,10.7,78.1489,45,NO_DRAG
756.605,195.03,10.8,78.5717,45,NO_DRAG
763.676,191.556,10.9,79.0043,45,NO_DRAG
770.747,187.983,11,79.4467,45,NO_DRAG
777.818,184.312,11.1,79.8987,45,NO_DRAG
784.889,180.543,11.2,80.3601,45,NO_DRAG
791.96,176.676,11.3,80.8308,45,NO_DRAG
799.031,172.711,11.4,81.3106,45,NO_DRAG
806.102,168.647,11.5,81.7994,45,NO_DRAG
813.173,164.486,11.6,82.2969,45,NO_DRAG
820.244,160.227,11.7,82.8031,45,NO_DRAG
827.315,155.869,11.8,83.3178,45,NO_DRAG
834.387,151.413,11.9,83.8408,45,NO_DRAG
841.458,146.859,12,84.3719,45,NO_DRAG
848.529,142.208,12.1,84.9111,45,NO_DRAG
855.6,137.458,12.2,85.4581,45,NO_DRAG
862.671,132.61,12.3,86.0128,45,NO_DRAG
869.742,127.663,12.4,86.5751,45,NO_DRAG
876.813,122.619,12.5,87.1448,45,NO_DRAG
883.884,117.477,12.6,87.7218,45,NO_DRAG
890.955,112.236,12.7,88.3059,45,NO_DRAG
898.026,106.898,12.8,88.897,45,NO_DRAG
905.097,101.461,12.9,89.4949,45,NO_DRAG
912.168,95.9261,13,90.0996,45,NO_DRAG
919.239,90.2932,13.1,90.7108,45,NO_DRAG
