x,y,t,v,angle,traj
69.4211,54.4799,2.5,30.9209,50,6
72.3137,55.5237,2.6,30.588,50,6
75.2062,56.4693,2.7,30.2832,50,6
78.0988,57.3169,2.8,30.0074,50,6
80.9913,58.0663,2.9,29.7614,50,6
83.8839,58.7177,3,29.5459,50,6
86.7764,59.2709,3.1,29.3616,50,6
89.669,59.7261,3.2,29.2091,50,6
92.5615,60.0831,3.3,29.089,50,6
95.454,60.3421,3.4,29.0015,50,6
98.3466,60.5029,3.5,28.9471,50,6
101.239,60.5657,3.6,28.9258,50,6
104.132,60.5303,3.7,28.9378,50,6
107.024,60.3969,3.8,28.983,50,6
109.917,60.1653,3.9,29.0613,50,6
112.809,59.8357,4,29.1723,50,6
115.702,59.4079,4.1,29.3158,50,6
118.594,58.8821,4.2,29.4913,50,6
121.487,58.2581,4.3,29.6981,50,6
124.38,57.5361,4.4,29.9356,50,6
127.272,56.7159,4.5,30.2032,50,6
130.165,55.7977,4.6,30.5,50,6
133.057,54.7813,4.7,30.8252,50,6
135.95,53.6668,4.8,31.1778,50,6
138.842,52.4543,4.9,31.557,50,6
141.735,51.1436,5,31.9619,50,6
144.627,49.7349,5.1,32.3914,50,6
147.52,48.228,5.2,32.8446,50,6
150.412,46.6231,5.3,33.3205,50,6
153.305,44.92,5.4,33.8182,50,6
156.198,43.1189,5.5,34.3367,50,6
159.09,41.2196,5.6,34.8751,50,6
161.983,39.2223,5.7,35.4325,50,6
164.875,37.1268,5.8,36.0079,50,6
167.768,34.9333,5.9,36.6007,50,6
170.66,32.6416,6,37.2098,50,6
173.553,30.2519,6.1,37.8346,50,6
176.445,27.764,6.2,38.4743,50,6
179.338,25.1781,6.3,39.1281,50,6
182.23,22.494,6.4,39.7953,50,6
185.123,19.7119,6.5,40.4753,50,6
188.016,16.8316,6.6,41.1675,50,6
190.908,13.8533,6.7,41.8712,50,6
193.801,10.7768,6.8,42.5859,50,6
196.693,7.60225,6.9,43.311,50,6
199.586,4.3296,7,44.046,50,6
202.478,0.95885,7.1,44.7905,50,6
203.301,0,7.2,45.5439,50,6
0,0,0,45,51,7
0,0,0.1,45,51,7
2.83194,3.4481,0.2,44.2419,51,7
5.66389,6.79811,0.3,43.4928,51,7
8.49583,10.05,0.4,42.753,51,7
11.3278,13.2038,0.5,42.0231,51,7
14.1597,16.2595,0.6,41.3036,51,7
16.9917,19.2171,0.7,40.5951,51,7
19.8236,22.0766,0.8,39.8981,51,7
22.6556,24.838,0.9,39.2132,51,7
25.4875,27.5013,1,38.5412,51,7
28.3194,30.0665,1.1,37.8826,51,7
31.1514,32.5337,1.2,37.2383,51,7
33.9833,34.9027,1.3,36.6089,51,7
36.8153,37.1736,1.4,35.9952,51,7
39.6472,39.3464,1.5,35.3981,51,7
42.4792,41.4211,1.6,34.8184,51,7
45.3111,43.3977,1.7,34.2569,51,7
48.1431,45.2762,1.8,33.7147,51,7
50.975,47.0566,1.9,33.1926,51,7
53.8069,48.7389,2,32.6916,51,7
56.6389,50.3231,2.1,32.2127,51,7
59.4708,51.8092,2.2,31.7569,51,7
62.3028,53.1972,2.3,31.3252,51,7
65.1347,54.4871,2.4,30.9187,51,7
67.9667,55.6789,2.5,30.5382,51,7
70.7986,56.7726,2.6,30.1848,51,7
73.6306,57.7682,2.7,29.8595,51,7
76.4625,58.6657,2.8,29.5631,51,7
79.2944,59.4651,2.9,29.2967,51,7
82.1264,60.1664,3,29.0609,51,7
84.9583,60.7696,3.1,28.8565,51,7
87.7903,61.2747,3.2,28.6843,51,7
90.6222,61.6818,3.3,28.5448,51,7
93.4542,61.9907,3.4,28.4384,51,7
96.2861,62.2015,3.5,28.3656,51,7
99.1181,62.3142,3.6,28.3266,51,7
101.95,62.3288,3.7,28.3215,51,7
104.782,62.2453,3.8,28.3504,51,7
107.614,62.0637,3.9,28.4132,51,7
110.446,61.784,4,28.5096,51,7
113.278,61.4062,4.1,28.6393,51,7
116.11,60.9303,4.2,28.8019,51,7
118.942,60.3563,4.3,28.9967,51,7
121.774,59.6842,4.4,29.2232,51,7
124.606,58.914,4.5,29.4806,51,7
127.437,58.0457,4.6,29.7682,51,7
130.269,57.0793,4.7,30.0849,51,7
133.101,56.0148,4.8,30.4301,51,7
135.933,54.8522,4.9,30.8026,51,7
138.765,53.5915,5,31.2015,51,7
141.597,52.2327,5.1,31.6258,51,7
144.429,50.7758,5.2,32.0746,51,7
147.261,49.2208,5.3,32.5467,51,7
150.093,47.5677,5.4,33.0412,51,7
152.925,45.8166,5.5,33.5571,51,7
155.757,43.9673,5.6,34.0934,51,7
158.589,42.0199,5.7,34.6492,51,7
161.421,39.9744,5.8,35.2236,51,7
164.253,37.8308,5.9,35.8156,51,7
167.085,35.5891,6,36.4245,51,7
169.917,33.2493,6.1,37.0493,51,7
172.749,30.8114,6.2,37.6893,51,7
175.581,28.2754,6.3,38.3437,51,7
178.412,25.6413,6.4,39.0118,51,7
181.244,22.9091,6.5,39.6929,51,7
184.076,20.0788,6.6,40.3863,51,7
186.908,17.1504,6.7,41.0915,51,7
189.74,14.1239,6.8,41.8078,51,7
192.572,10.9993,6.9,42.5346,51,7
195.404,7.77662,7,43.2715,51,7
198.236,4.45583,7.1,44.0179,51,7
201.068,1.03693,7.2,44.7734,51,7
201.927,0,7.3,45.5374,51,7
0,0,0,45,52,8
0,0,0.1,45,52,8
2.77048,3.497,0.2,44.2311,52,8
5.54096,6.89589,0.3,43.4707,52,8
8.31144,10.1967,0.4,42.7193,52,8
11.0819,13.3994,0.5,41.9774,52,8
13.8524,16.504,0.6,41.2455,52,8
16.6229,19.5105,0.7,40.5241,52,8
19.3934,22.4189,0.8,39.8138,52,8
22.1638,25.2292,0.9,39.1153,52,8
24.9343,27.9414,1,38.429,52,8
27.7048,30.5555,1.1,37.7558,52,8
30.4753,33.0715,1.2,37.0963,52,8
33.2458,35.4894,1.3,36.4513,52,8
36.0162,37.8092,1.4,35.8216,52,8
38.7867,40.0308,1.5,35.2079,52,8
41.5572,42.1544,1.6,34.6111,52,8
44.3277,44.1799,1.7,34.0322,52,8
47.0981,46.1073,1.8,33.472,52,8
49.8686,47.9366,1.9,32.9315,52,8
52.6391,49.6678,2,32.4117,52,8
55.4096,51.3009,2.1,31.9136,52,8
58.1801,52.8359,2.2,31.4382,52,8
60.9505,54.2728,2.3,30.9866,52,8
63.721,55.6116,2.4,30.5598,52,8
66.4915,56.8523,2.5,30.1589,52,8
69.262,57.9949,2.6,29.7849,52,8
72.0325,59.0394,2.7,29.4389,52,8
74.8029,59.9858,2.8,29.1218,52,8
77.5734,60.8341,2.9,28.8346,52,8
80.3439,61.5843,3,28.5782,52,8
83.1144,62.2364,3.1,28.3535,52,8
85.8849,62.7904,3.2,28.1612,52,8
88.6553,63.2463,3.3,28.0019,52,8
91.4258,63.6041,3.4,27.8763,52,8
94.1963,63.8638,3.5,27.7848,52,8
96.9668,64.0254,3.6,27.7276,52,8
99.7373,64.0889,3.7,27.7052,52,8
